,className,classStanding,isTransfer,major,gpa,age,gender,exerciseHrs,gymVisits,mentalHealth,timeToSleep,hrsSleep,energyLevels,caffeineFreq,caffeineType,caffeineIntake,units
0,CS105,Junior,1,Data Science major,3.67 - 4.0,20 - 22,Male,2 - 3 hours,3 - 4 times,5,15 - 30 minutes,6 - 7 hours,5,Once per week,"Tea, Coffee",Less than 12 oz (about 1 cup),17
1,CS105,Senior,0,CS major,3.67 - 4.0,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",4,30 - 45 minutes,6 - 7 hours,4,Once per week,Coffee,Less than 12 oz (about 1 cup),16
2,CS105,Junior,0,Data Science major,3.67 - 4.0,20 - 22,Female,0 -1 hours,1 - 2 times,2,0 - 15 minutes,5 - 6 hours,2,Multiple times per week,"Tea, Coffee, Energy drink",Less than 12 oz (about 1 cup),16
3,CS105,Junior,0,CS major,3.34 - 3.66,20 - 22,Male,More than 5+ hours,5 - 6 times,3,15 - 30 minutes,6 - 7 hours,3,Multiple times per week,Other,Less than 12 oz (about 1 cup),17
4,CS105,Junior,0,CS major,3.67 - 4.0,18 - 20,Female,0 -1 hours,"0, I don't go to the gym",4,30 - 45 minutes,5 - 6 hours,2,Once per week,Tea,Less than 12 oz (about 1 cup),15
5,CS105,Senior,0,CSBA major,3.00 - 3.33,20 - 22,Male,2 - 3 hours,3 - 4 times,3,0 - 15 minutes,5 - 6 hours,3,Once per month,Energy drink,Less than 12 oz (about 1 cup),18
6,CS105,Junior,0,Other,3.34 - 3.66,18 - 20,Female,0 -1 hours,"0, I don't go to the gym",3,30 - 45 minutes,5 - 6 hours,2,Multiple times per week,Coffee,12-24 oz (1 - 2 cups),12
7,CS105,Junior,0,CS major,3.34 - 3.66,18 - 20,Female,0 -1 hours,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,2,Multiple times per week,"Coffee, Energy drink",12-24 oz (1 - 2 cups),17
8,CS105,Senior,0,CS major,3.00 - 3.33,20 - 22,Female,0 -1 hours,1 - 2 times,2,0 - 15 minutes,6 - 7 hours,2,Once per week,"Tea, Energy drink",12-24 oz (1 - 2 cups),13
9,CS105,Senior,0,CS major,3.00 - 3.33,20 - 22,Male,2 - 3 hours,1 - 2 times,4,30 - 45 minutes,6 - 7 hours,3,Multiple times per week,"Tea, Coffee, Energy drink",12-24 oz (1 - 2 cups),12
10,CS105,Senior,0,CS major,3.34 - 3.66,22 - 24,Male,0 -1 hours,"0, I don't go to the gym",3,30 - 45 minutes,5 - 6 hours,1,Multiple times per week,"Tea, Coffee, Energy drink",25-48 oz (2 - 4 cups),16
11,CS105,Senior,0,Data Science major,3.67 - 4.0,20 - 22,Male,More than 5+ hours,5 - 6 times,4,15 - 30 minutes,8 - 9 hours,4,Multiple times per week,Tea,0 oz,16
12,CS105,Senior,1,Data Science major,2.50 - 2.99,22 - 24,Female,2 - 3 hours,1 - 2 times,2,30 - 45 minutes,7 - 8 hours,3,Once per day,Tea,Less than 12 oz (about 1 cup),12
13,"CS105, CS111",Junior,0,Data Science major,3.34 - 3.66,20 - 22,Male,4 - 5 hours,3 - 4 times,2,15 - 30 minutes,4 - 5 hours,2,Once per week,Energy drink,0 oz,16
14,"CS105, CS111, CS10C",Junior,1,Data Science major,Prefer not to say,22 - 24,Male,2 - 3 hours,3 - 4 times,4,30 - 45 minutes,5 - 6 hours,3,Multiple times per week,"Tea, Coffee, Energy drink",25-48 oz (2 - 4 cups),12
15,"CS105, CS111",Junior,0,Data Science major,3.34 - 3.66,20 - 22,Male,4 - 5 hours,1 - 2 times,4,15 - 30 minutes,8 - 9 hours,4,Multiple times per week,"Tea, Coffee, Energy drink",Less than 12 oz (about 1 cup),17
16,CS105,Senior,0,Mathematics major,3.34 - 3.66,20 - 22,Male,2 - 3 hours,"0, I don't go to the gym",4,45 - 60 minutes,6 - 7 hours,4,I don't consume them at all,None,0 oz,12
17,CS105,Senior,0,CS major,3.67 - 4.0,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",3,0 - 15 minutes,5 - 6 hours,3,Once per week,None,0 oz,16
18,CS105,Junior,0,Data Science major,2.50 - 2.99,20 - 22,Female,More than 5+ hours,3 - 4 times,3,30 - 45 minutes,7 - 8 hours,1,I don't consume them at all,Energy drink,Less than 12 oz (about 1 cup),12
19,CS111,Junior,0,CS major,3.67 - 4.0,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",3,15 - 30 minutes,4 - 5 hours,3,I don't consume them at all,None,0 oz,13
20,CS111,Junior,0,CS major,3.67 - 4.0,20 - 22,Female,0 -1 hours,1 - 2 times,3,15 - 30 minutes,6 - 7 hours,2,Once per day,Energy drink,12-24 oz (1 - 2 cups),17
21,CS111,Junior,0,Other,3.67 - 4.0,18 - 20,Male,0 -1 hours,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,3,Once per week,Coffee,Less than 12 oz (about 1 cup),20
22,CS111,Junior,1,CS major,3.67 - 4.0,20 - 22,Female,2 - 3 hours,1 - 2 times,3,15 - 30 minutes,6 - 7 hours,3,Multiple times per week,"Tea, Coffee",Less than 12 oz (about 1 cup),13
23,CS111,Junior,0,CS major,3.67 - 4.0,18 - 20,Male,2 - 3 hours,1 - 2 times,3,15 - 30 minutes,5 - 6 hours,3,I don't consume them at all,None,0 oz,18
24,CS111,Senior,0,Other,3.67 - 4.0,20 - 22,Male,4 - 5 hours,1 - 2 times,4,30 - 45 minutes,6 - 7 hours,3,Multiple times per week,Coffee,Less than 12 oz (about 1 cup),18
25,CS111,Sophomore,0,CS major,3.67 - 4.0,18 - 20,Female,2 - 3 hours,1 - 2 times,3,0 - 15 minutes,4 - 5 hours,3,Once per week,"Tea, Coffee, Energy drink",Less than 12 oz (about 1 cup),18
26,CS111,Sophomore,0,CS major,3.67 - 4.0,18 - 20,Male,0 -1 hours,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,18
27,CS111,Junior,0,CS major,3.67 - 4.0,18 - 20,Female,2 - 3 hours,"0, I don't go to the gym",4,0 - 15 minutes,5 - 6 hours,3,I don't consume them at all,None,0 oz,17
28,CS111,Junior,0,Mathematics major,3.67 - 4.0,18 - 20,Male,2 - 3 hours,"0, I don't go to the gym",2,0 - 15 minutes,6 - 7 hours,3,I don't consume them at all,None,0 oz,16
29,CS111,Junior,0,CS major,2.50 - 2.99,20 - 22,Male,4 - 5 hours,3 - 4 times,1,15 - 30 minutes,7 - 8 hours,1,multiple times a day,"Coffee, Energy drink",12-24 oz (1 - 2 cups),12
30,CS111,Junior,0,Data Science major,3.34 - 3.66,18 - 20,Female,0 -1 hours,"0, I don't go to the gym",3,30 - 45 minutes,6 - 7 hours,3,Once per week,Tea,12-24 oz (1 - 2 cups),20
31,CS111,Sophomore,0,CS major,3.67 - 4.0,18 - 20,Male,2 - 3 hours,"0, I don't go to the gym",3,0 - 15 minutes,9 - 10 hours,3,I don't consume them at all,None,0 oz,13
32,CS111,Junior,0,Data Science major,3.00 - 3.33,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",4,15 - 30 minutes,5 - 6 hours,3,I don't consume them at all,None,0 oz,12
33,"CS105, CS111",Junior,0,CS major,2.50 - 2.99,20 - 22,Male,0 -1 hours,"0, I don't go to the gym",3,30 - 45 minutes,6 - 7 hours,3,Multiple times per week,"Tea, Coffee",12-24 oz (1 - 2 cups),12
34,CS105,Junior,0,Data Science major,3.34 - 3.66,20 - 22,Female,4 - 5 hours,5 - 6 times,4,15 - 30 minutes,7 - 8 hours,4,Once per week,"Tea, Coffee",0 oz,13
35,CS111,Junior,0,CS major,3.67 - 4.0,18 - 20,Female,0 -1 hours,"0, I don't go to the gym",3,0 - 15 minutes,6 - 7 hours,3,maybe once or a few times a month,Other,Less than 12 oz (about 1 cup),19
36,CS105,Senior,0,CSBA major,3.34 - 3.66,20 - 22,Female,2 - 3 hours,"0, I don't go to the gym",3,15 - 30 minutes,6 - 7 hours,4,I don't consume them at all,None,0 oz,16
37,CS111,Junior,0,CS major,3.34 - 3.66,20 - 22,Female,0 -1 hours,"0, I don't go to the gym",2,30 - 45 minutes,6 - 7 hours,2,I don't consume them at all,None,0 oz,12
