CS105,What class are you filling out this survey for? Select all that apply.,What is your current class standing?,Are you a transfer student?,"What is your major/minor? (If your major is not listed, please write it in ""Other.."")",What was the reason (or reasons) you chose CS (CSBA) or DS as your major or minor?,"Have you ever thought about changing your major? If so, what were the reasons? Choose all that apply.",What is your current cumulative GPA?,What is your age?,What is your height (in inches)?,What is your ethnicity?,What gender do you identify as?,Select ALL that you identify with:,How many languages can you speak (not programming languages),What is your preferred domain of interest in Computer Science?,What is your second most preferred domain of interest in Computer Science?,How much free time would you say you have a day on average?,How many hours of strenuous exercise do you do per week on average?,How many times do you go to the gym per week on average?,Rate your overall mental health.,Rate the change in your physical activity levels during the pandemic. ,Which health and safety practices have you adopted during the pandemic? ,How long does it take for you to fall asleep?,"After your last meal/snack of the day, how many hours do you stay awake before you sleep? ",How many hours of sleep do you need to feel rested? ,How many hours of sleep do you get on average during college?,How many meals do you typically eat per day? ,"On average, how much water do you drink per day?",How often do you eat breakfast?,"On average, how would you describe your energy levels throughout the day? ",How tired do you usually feel when waking up?,How often do you consume caffeinated beverages?,What types of caffeinated drink do you consume? Choose all that apply. ,"What is your daily caffeinated drink intake?
(For reference, a ""small"" Red Bull is 8.4oz and ""medium"" Starbucks Grande is 16oz)","Do you currently live in a house, apartment, or dorm?",How many people live in your household?,Who do you live with during the quarter?,Who do you live with during breaks?,How have your social interactions changed during the Covid-19 pandemic?,What forms of new social engagement did you have during the Covid-19 pandemic?,How many hours a week do you spend cooking/prepping meals for yourself?,How many times a week do you eat out?,How much do you spend on eating out per week on average?,"Of these options, which do you spend the most on financially?","On a scale of 1-5, 1 being bad and 5 being great, how well do you consider yourself at cooking?",What food allergies do you have? Choose all that apply: ,"Out of these options, what best motivates you to donate blood (or if it is not included in this list, explain in ""Other"")?","Out of these options, what hinders you the most from donating blood (or if it is not included in this list, explain in ""Other"")?",How do you get to school?,How far is your commute to UCR (in miles)?,How long does your daily commute to UCR usually take (in minutes)?,How many days per week do you commute to UCR?,How many AP classes did you take in high school? ,How many units are you registered for this quarter? ,How many times per week are you late to lectures? ,How often do you feel unprepared for a class due to not understanding the material? ,Do you study individually or in a group? ,How many hours a week do you spend studying?,What study techniques do you use? Choose all that apply.,How often do you feel stressed about completing an assignment?,"How much do you agree with this statement: ""My grades would be better if I could study more instead of having to work?""","On a scale of 1-5, how well do you learn in class?",What would you consider the average length of time you can stay focused in class? ,How often do you go on your phone or talk to your friends during class? ,"How often do you find it difficult to focus in class due to external distractions (e.g., noise, temperature, seating)?",Do you agree that attending office hours has or would have helped your grade? ,How many times have you attended office hours for your hardest class so far this quarter? ,Do you believe that you suffer from imposter syndrome?,How many times have you applied for a job/internship before you got a response back? ,Around what time of the year do you apply to jobs/internships the most?,Which AI tool do you primarily use?,How frequently do you use ChatGPT or other AI language models?,What types of tasks do you normally use ChatGPT or another AI language model to complete?,"On a scale of 1-10, how afraid are you about A.I could reduce your job opportunities? (1 being not afraid at all and 10 being extremely afraid)",What was your main hobby during high school? ,What hobbies/activities outside of general education did you enjoy before you entered college? Choose all that apply.,What hobbies/activities outside of general education do you enjoy now during college? Choose all that apply.,Approximately how many hours a week on average do you spend on these hobbies/this hobby now during college?,How many campus clubs/organizations are you involved in? ,"How many hours a week do you spend on all extracurriculars (work, clubs, research, sports, etc.)? ",Which Computer Science-related extracurricular activities have you participated in? (Select all that apply),"What are your favorite music genres? List them from most favorite to least favorite (e.g. rock, pop, country... put at least 3 genres, but there's no limit).","What does music make you feel like? Your response should be limited to 5 single words separated by commas (e.g. awesome, relaxed, happy, calm, fun).","How much do you go out of your way to find new music? [1 to 5; 1 is ""I am comfortable with my music as is""; 3 is ""I have a 50-50 mix of listening to familiar music and new music""; 5 is ""I mostly listen to new music""]"
10/28/2024 12:10:42,CS105,Junior,Yes,Data Science major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making","N/A, I have never thought about changing my major.",3.67 - 4.0,20 - 22,69,Asian,Male,"Second Generation Student, In-State Student",2 - 3,Data Science,"Machine Learning, Data Mining, NLP, AI",<= 3 hours,2 - 3 hours,3 - 4 times,5,3,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,7 - 8 hours,6 - 7 hours,3,1 - 2 liters (about 34-68 oz),Every day,5,4,Once per week,"Tea, Coffee",Less than 12 oz (about 1 cup),House,4,Family,Family,No change,"Virtual meetups, Outdoor activities","0 hours, I don't cook or prep meals",1 - 2 times,$15 - $20,Entertainment,2,No food allergies,"N/A, I don't donate blood",Nothing,Car,20,35,5 days,6 - 8,17,0 - 1 lectures,Rarely,Individually,0 - 5 hours,"Reviewing lectures, Writing notes",Not very stressed,"N/A, I don't have to work",4,40 - 60 mins,Rarely,Rarely,Neutral,Never,I'm Not Sure,7 or more,Fall,ChatGPT,Sometimes,"Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.)",4,Reading Books,Gaming,"Gaming, Tech and DIY (coding, woodworking, home improvement, electronics)",3,1,0 - 5 hours,Computer Science Club,"rock, hip-hop, r&b","relaxed, energized",3
10/28/2024 12:15:34,CS105,Senior,No,CS major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential","The current major isn’t meeting my career goals., I wanted a major that aligns better with my personal values or lifestyle.",3.67 - 4.0,20 - 22,68,Asian,Male,"First Generation Student, In-State Student",1,"Machine Learning, Data Mining, NLP, AI",Software Engineering,<= 3 hours,0 -1 hours,"0, I don't go to the gym",4,3,"Wearing masks, Hand washing, Social distancing, Vaccination",30 - 45 minutes,1 - 3 hours,6 - 7 hours,6 - 7 hours,3,1 - 2 liters (about 34-68 oz),Every day,4,3,Once per week,Coffee,Less than 12 oz (about 1 cup),House,4,Family,Family,No change,None,"0 hours, I don't cook or prep meals",1 - 2 times,$5 - $10,"Personal items (clothes, cosmetics)",2,No food allergies,"N/A, I don't donate blood",Nothing,Car,10,15,5 days,3 - 5,16,0 - 1 lectures,Rarely,Individually,0 - 5 hours,"Reviewing lectures, Writing notes",Not very stressed,"N/A, I don't have to work",4,40 - 60 mins,Rarely,Rarely,Neutral,Seldom,Somewhat,7 or more,Fall,ChatGPT,Sometimes,"Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.)",6,Solving logic puzzles,"Gaming, Playing/Doing some kind of sport or martial art","Gaming, Tech and DIY (coding, woodworking, home improvement, electronics), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",5,0,0 - 5 hours,Coding Competitions,"techno, rock, metal","excited, calm, good, awesome, motivated",3
10/28/2024 12:24:45,CS105,Junior,No,Data Science major,"Strong job prospects and high earning potential, Encouragement or advice from family members, mentors, or educators, One or more of my family members or friends work in this area","N/A, I have never thought about changing my major.",3.67 - 4.0,20 - 22,66,Asian,Female,"First Generation Student, In-State Student",2 - 3,Data Science,"Machine Learning, Data Mining, NLP, AI",<= 3 hours,0 -1 hours,1 - 2 times,2,1,"Wearing masks, Hand washing, Social distancing, Vaccination",0 - 15 minutes,1 - 3 hours,9 - 10 hours,5 - 6 hours,2,1 - 2 liters (about 34-68 oz),Rarely (once a month or less),2,1,Multiple times per week,"Tea, Coffee, Energy drink",Less than 12 oz (about 1 cup),Apartment,4,Friends,Both friends and family,Decreased slightly,"Virtual meetups, Social media",7 - 8 hours,1 - 2 times,$5 - $10,Groceries/Food,5,No food allergies,Incentives,Fear of needles,Skateboard,0,0,0 days (I do not commute to school),6 - 8,16,2 - 3 lectures,Often,Group-study,16 - 20 hours,"Reviewing lectures, Writing notes, Mnemonics, Group studying",Very stressed,Agree,3,20 - 40 mins,Sometimes,Sometimes,Strongly agree,Occasionally,Moderately,1 - 3,Winter,ChatGPT,Everyday,"Assignments, Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Research-related cases, Summarizing an assignment (break down concepts, outline problems, etc.)",6,Anime,Gaming,"Gaming, Cooking and Baking, Playing/Doing some kind of sport or martial art",6,2,11 - 15 hours,"Coding Competitions, Computer Science Club","jpop, indie, pop, hiphop","fun, relaxed",2
10/28/2024 12:31:24,CS105,Junior,No,CS major,"Interest in technology and problem-solving, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential",I wanted a major that aligns better with my personal values or lifestyle.,3.34 - 3.66,20 - 22,68,Asian,Male,First Generation Student,2 - 3,"Machine Learning, Data Mining, NLP, AI",Software Engineering,<= 3 hours,More than 5+ hours,5 - 6 times,3,1,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,1 - 3 hours,8 - 9 hours,6 - 7 hours,2,1 - 2 liters (about 34-68 oz),Rarely (once a month or less),3,3,Multiple times per week,Pre-workout (Only for gymming/exercising),Less than 12 oz (about 1 cup),House,6,Friends,Family,Decreased significantly,Virtual meetups,1 - 2 hours,"0 times, I don't eat out","$0, I don't eat out",Groceries/Food,2,No food allergies,"N/A, I don't donate blood",Inconvenience of locations,Walk,0.6,25,More than 5 days (Weekend classes/clubs/meetings),0 - 2,17,0 - 1 lectures,Often,Individually,0 - 5 hours,"Reviewing lectures, Writing notes, Group studying",Not very stressed,"N/A, I don't have to work",2,20 - 40 mins,Sometimes,Sometimes,Agree,Never,Very Strongly,"N/A, I haven't applied to any jobs/internships","N/A, I haven't applied to any jobs/internships",ChatGPT,Everyday,"Assignments, Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Summarizing an assignment (break down concepts, outline problems, etc.)",2,Playing musical instruments,"Gaming, Playing/Doing some kind of sport or martial art, Art (Music, Dance, Creative art)","Gaming, Cooking and Baking, Playing/Doing some kind of sport or martial art, Music and Performing Arts (playing instruments, singing, acting, dancing)",10,2,0 - 5 hours,Computer Science Club,"zoomer gaze, bedroom r&b, rap","hyped, happy, fun, confident, calm",5
10/28/2024 12:45:54,CS105,Junior,No,CS major,"Interest in technology and problem-solving, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential, Encouragement or advice from family members, mentors, or educators, One or more of my family members or friends work in this area","N/A, I have never thought about changing my major.",3.67 - 4.0,18 - 20,64,"Asian, White",Female,In-State Student,1,Not sure,Not sure,4 - 6 hours,0 -1 hours,"0, I don't go to the gym",4,2,"Wearing masks, Hand washing, Social distancing, Vaccination",30 - 45 minutes,1 - 3 hours,7 - 8 hours,5 - 6 hours,2,1 - 2 liters (about 34-68 oz),Rarely (once a month or less),2,2,Once per week,Tea,Less than 12 oz (about 1 cup),House,5,Both friends and family,Family,Decreased slightly,"Virtual meetups, Social media","0 hours, I don't cook or prep meals",3 - 4 times,More than $40,Groceries/Food,2,Shellfish,Altruism,Fear of needles,Car,26,35,3 - 4 days,More than 8,15,2 - 3 lectures,Often,Individually,6 - 10 hours,"Reviewing lectures, Writing notes, Pomodoro",Somewhat stressed,Agree,2,0 - 20 mins,Sometimes,Rarely,Agree,Weekly to biweekly,Strongly,7 or more,Fall,ChatGPT,A couple times a week,"Assignments, Help with Studying, Error-finding (spelling, debugging, etc.)",7,Games,Gaming,"Gaming, Tech and DIY (coding, woodworking, home improvement, electronics), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",2,0,0 - 5 hours,"Tech-related volunteer work or internships, Hackathon","rock, soft pop, electronic","relaxed, enriched, calm, happy, energetic",3
10/28/2024 12:47:08,CS105,Senior,No,CSBA major,"Interest in technology and problem-solving, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential, Encouragement or advice from family members, mentors, or educators, One or more of my family members or friends work in this area",I found the coursework too challenging or overwhelming.,3.00 - 3.33,20 - 22,5'7,Asian,Male,In-State Student,2 - 3,Cybersecurity,Game Development,<= 3 hours,2 - 3 hours,3 - 4 times,3,2,"Hand washing, Vaccination",0 - 15 minutes,Less than 1 hour,6 - 7 hours,5 - 6 hours,2,1 - 2 liters (about 34-68 oz),Rarely (once a month or less),3,3,Once per month,Energy drink,Less than 12 oz (about 1 cup),House,5,Friends,Both friends and family,Increased significantly,"Virtual meetups, Outdoor activities",5 - 6 hours,3 - 4 times,More than $40,Groceries/Food,4,No food allergies,Incentives,Nothing,Car,3,13,More than 5 days (Weekend classes/clubs/meetings),3 - 5,18,4 - 5 lectures,Often,Individually,6 - 10 hours,"Reviewing lectures, Writing notes, Pomodoro",Somewhat stressed,Disagree,2,40 - 60 mins,Often,Often,Agree,Seldom,Very Strongly,4 - 6,"N/A, I haven't applied to any jobs/internships",ChatGPT,Sometimes,"Assignments, Personal Use, Error-finding (spelling, debugging, etc.), Summarizing an assignment (break down concepts, outline problems, etc.)",6,Sports,"Gaming, Cooking, Playing/Doing some kind of sport or martial art","Gaming, Cooking and Baking, Playing/Doing some kind of sport or martial art, Music and Performing Arts (playing instruments, singing, acting, dancing), Intellectual Pursuits (reading, puzzles, learning new languages, studying history)",15,1,6 - 10 hours,None - I have not participated in such activities,"asian rnb, rap, kpop","relaxed, hyped, sleepy, calm, excited",2
10/28/2024 13:02:31,CS105,Junior,No,Business Major/DS Minor,"Interest in technology and problem-solving, Strong job prospects and high earning potential, Pressure from family members",I realized I’m more passionate about another field.,3.34 - 3.66,18 - 20,5'3,Asian,Female,"Second Generation Student, In-State Student",2 - 3,Game Development,Cybersecurity,<= 3 hours,0 -1 hours,"0, I don't go to the gym",3,1,"Wearing masks, Hand washing, Social distancing, Vaccination",30 - 45 minutes,3 - 5 hours,8 - 9 hours,5 - 6 hours,2,Less than 1 liter (about 34 oz),Rarely (once a month or less),2,1,Multiple times per week,Coffee,12-24 oz (1 - 2 cups),Apartment,4,Friends,Family,Increased slightly,"Virtual meetups, Social media, Outdoor activities",1 - 2 hours,5 - 6 times,$35 - $40,Groceries/Food,3,No food allergies,Incentives,Fear of contracting a disease,Car,1.7,8,3 - 4 days,3 - 5,12,4 - 5 lectures,Very often,Individually,0 - 5 hours,"Reviewing lectures, Writing notes, Group studying",Very stressed,Agree,1,20 - 40 mins,Sometimes,Often,Neutral,Never,Moderately,4 - 6,Summer,ChatGPT,A couple times a week,"Assignments, Help with Studying, Error-finding (spelling, debugging, etc.), Summarizing an assignment (break down concepts, outline problems, etc.)",7,dancing,Gaming,"Gaming, gymming",3,3+,0 - 5 hours,Computer Science Club,"rap, pop, edm","happy, excited, hype, calm, cool",3
10/28/2024 13:15:15,CS105,Junior,No,CS major,"Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential","I realized I’m more passionate about another field., I found the coursework too challenging or overwhelming.",3.34 - 3.66,18 - 20,63,White,Female,"Second Generation Student, In-State Student",2 - 3,Software Engineering,Web Development,4 - 6 hours,0 -1 hours,"0, I don't go to the gym",3,3,"Wearing masks, Hand washing, Social distancing, Vaccination",15 - 30 minutes,3 - 5 hours,9 - 10 hours,6 - 7 hours,2,Less than 1 liter (about 34 oz),Rarely (once a month or less),2,2,Multiple times per week,"Coffee, Energy drink",12-24 oz (1 - 2 cups),House,6,Family,Family,Increased slightly,"Virtual meetups, Social media","0 hours, I don't cook or prep meals",3 - 4 times,More than $40,Groceries/Food,2,No food allergies,"N/A, I don't donate blood",Inconvenience of locations,Car,7,20,3 - 4 days,6 - 8,17,4 - 5 lectures,Very often,Individually,6 - 10 hours,"Writing notes, Pomodoro, Mind mapping, Mnemonics",Somewhat stressed,Disagree,1,0 - 20 mins,Sometimes,Sometimes,Strongly disagree,Weekly to biweekly,Very Strongly,1 - 3,Spring,ChatGPT,Rarely/Never,"Help with Studying, Error-finding (spelling, debugging, etc.), Summarizing an assignment (break down concepts, outline problems, etc.)",9,Playing musical instruments,"Reading, Playing/Doing some kind of sport or martial art, Knitting/Sewing, engaging in some kind of handmade craft, Art (Music, Dance, Creative art)","Music and Performing Arts (playing instruments, singing, acting, dancing)",4,0,11 - 15 hours,None - I have not participated in such activities,"Pop, rap, worship","Relaxed, happy, grateful",3
10/28/2024 13:33:21,CS105,Senior,No,CS major,"Interest in technology and problem-solving, Fascination with data analysis and decision-making, Enjoyment of coding, programming, and building applications, Strong job prospects and high earning potential",I found the coursework too challenging or overwhelming.,3.00 - 3.33,20 - 22,"67""",Asian,Female,First Generation Student,2 - 3,Cybersecurity,Web Development,4 - 6 hours,0 -1 hours,1 - 2 times,2,1,"Wearing masks, Hand washing, Social distancing, Vaccination",0 - 15 minutes,1 - 3 hours,8 - 9 hours,6 - 7 hours,2,2 - 3 liters (about 68-102 oz),Most days (4 - 6 times a week),2,2,Once per week,"Tea, Energy drink",12-24 oz (1 - 2 cups),House,5,Friends,Family,Decreased slightly,"Virtual meetups, Social media",3 - 4 hours,1 - 2 times,$25 - $30,Groceries/Food,4,No food allergies,"N/A, I don't donate blood",Nothing,Walk,0.5,20,5 days,More than 8,13,0 - 1 lectures,Often,Group-study,11 - 15 hours,"Reviewing lectures, Writing notes, Group studying",Very stressed,Agree,3,20 - 40 mins,Sometimes,Often,Agree,Weekly to biweekly,Very Strongly,4 - 6,Winter,ChatGPT,Everyday,"Assignments, Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Research-related cases, Summarizing an assignment (break down concepts, outline problems, etc.)",4,Solving logic puzzles,"Gaming, Reading, Cooking, Knitting/Sewing, engaging in some kind of handmade craft","Gaming, Tech and DIY (coding, woodworking, home improvement, electronics)",6,1,11 - 15 hours,Coding Competitions,indie and pop,relaxed,4
10/28/2024 13:40:18,CS105,Senior,No,CS major,"Interest in technology and problem-solving, Enjoyment of coding, programming, and building applications","N/A, I have never thought about changing my major.",3.00 - 3.33,20 - 22,71,Asian,Male,First Generation Student,2 - 3,Software Engineering,Game Development,4 - 6 hours,2 - 3 hours,1 - 2 times,4,4,Social distancing,30 - 45 minutes,1 - 3 hours,7 - 8 hours,6 - 7 hours,2,1 - 2 liters (about 34-68 oz),Rarely (once a month or less),3,2,Multiple times per week,"Tea, Coffee, Energy drink",12-24 oz (1 - 2 cups),Apartment,4,Neither,Family,Increased slightly,"Social media, Outdoor activities",1 - 2 hours,1 - 2 times,$15 - $20,Groceries/Food,3,Shellfish,"N/A, I don't donate blood",Nothing,Walk,0.5,20,0 days (I do not commute to school),3 - 5,12,0 - 1 lectures,Rarely,Group-study,6 - 10 hours,"Reviewing lectures, Writing notes, Group studying",Not very stressed,"N/A, I don't have to work",3,40 - 60 mins,Sometimes,Sometimes,Agree,Occasionally,Strongly,1 - 3,Fall,ChatGPT,Sometimes,"Help with Studying, Personal Use, Error-finding (spelling, debugging, etc.), Research-related cases",6,Gaming,Gaming,"Gaming, Cooking and Baking, Playing/Doing some kind of sport or martial art, Tech and DIY (coding, woodworking, home improvement, electronics)",8,2,0 - 5 hours,None - I have not participated in such activities,"pop, krnb, rnb","Relaxed, Calm, Happy, Free, At ease",3
